"ds","y"
"1875-07-31","3"
"1875-07-31","1"
"1875-07-31","6"
"1875-08-07","55"
"1875-08-07","14"
"1875-08-07","18"
"1875-08-07","14"
"1875-08-07","12"
"1875-08-14","12"
"1875-08-14","30"
"1875-08-14","8"
"1875-08-14","31"
"1875-08-14","11"
"1875-08-21","1"
"1875-08-21","33"
"1875-08-21","5"
"1875-08-21","11"
"1875-08-21","20"
"1875-08-28","15"
"1875-08-28","12"
"1875-08-28","6"
"1875-08-28","3"
"1875-08-28","13"
"1875-09-04","15"
"1875-09-04","25"
"1875-09-04","154"
"1875-09-04","23"
"1875-09-04","6"
"1875-09-11","30"
"1875-09-11","4"
"1875-09-11","11"
"1875-09-11","10"
"1875-09-11","6"
"1875-09-18","6"
"1875-09-18","13"
"1875-09-18","13"
"1875-09-18","6"
"1875-09-18","8"
"1875-09-25","32"
"1875-09-25","11"
"1875-09-25","1"
"1875-09-25","10"
"1875-09-25","15"
"1875-10-02","10"
"1875-10-02","18"
"1875-10-02","31"
"1875-10-02","19"
"1875-10-02","35"
"1875-10-09","29"
"1875-10-09","11"
"1875-10-09","1"
"1875-10-09","14"
"1875-10-09","14"
"1875-10-16","23"
"1875-10-16","3"
"1875-10-16","2"
"1875-10-16","7"
"1875-10-16","2"
"1875-10-23","11"
"1875-10-23","1"
"1875-10-23","39"
"1875-10-23","51"
"1875-10-23","28"
"1875-10-30","29"
"1875-10-30","4"
"1875-10-30","5"
"1875-10-30","5"
"1875-10-30","7"
"1875-11-06","11"
"1875-11-06","8"
"1875-11-06","3"
"1875-11-06","18"
"1875-11-06","27"
"1875-11-13","27"
"1875-11-13","39"
"1875-11-13","13"
